,VITRY:PM10,VITRY:PM25,VITRY:NO2,VITRY:SO2,VITRY:NO,VITRY:NOX,VITRY:O3
,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE
,VITRY,VITRY,VITRY,VITRY,VITRY,VITRY,VITRY
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,dioxyde de soufre,monoxyde d azote,oxydes d azote,ozone
,PM10,PM25,NO2,SO2,NO,NOX,O3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2025-01-01 01:00:00Z,8.0,7.6,7.1,,0.4,7.8,42.2
2025-01-01 02:00:00Z,7.0,6.6,6.5,,0.3,7.1,43.0
2025-01-01 03:00:00Z,7.0,6.7,5.9,,0.2,6.3,40.9
2025-01-01 04:00:00Z,7.4,7.0,5.8,,0.2,6.2,41.4
2025-01-01 05:00:00Z,8.6,8.1,6.5,,0.3,6.9,41.1
2025-01-01 06:00:00Z,10.5,9.7,10.5,,0.4,11.0,39.3
2025-01-01 07:00:00Z,11.8,10.7,10.7,,0.4,11.3,40.7
2025-01-01 08:00:00Z,11.9,10.8,7.5,,0.3,7.8,45.6
2025-01-01 09:00:00Z,10.7,9.8,7.8,,0.5,8.4,46.2
2025-01-01 10:00:00Z,9.4,8.6,6.0,,0.5,6.9,50.0
2025-01-01 11:00:00Z,9.2,8.2,8.4,,0.7,9.6,47.9
2025-01-01 12:00:00Z,8.8,7.9,8.5,,0.7,9.6,49.5
2025-01-01 13:00:00Z,9.1,7.6,7.8,,0.7,8.8,51.2
2025-01-01 14:00:00Z,9.9,8.6,8.3,,0.8,9.7,50.6
2025-01-01 15:00:00Z,9.1,8.1,8.7,,0.7,9.6,50.5
2025-01-01 16:00:00Z,8.9,7.5,9.0,,0.6,9.8,50.8
2025-01-01 17:00:00Z,9.7,8.4,10.7,,0.6,11.7,47.9
2025-01-01 18:00:00Z,10.0,8.5,9.9,,0.7,11.0,47.4
2025-01-01 19:00:00Z,11.2,9.4,9.1,,0.6,10.2,47.1
2025-01-01 20:00:00Z,12.7,10.3,8.8,,0.5,9.6,46.4
2025-01-01 21:00:00Z,12.5,10.7,9.6,,0.5,10.4,45.3
2025-01-01 22:00:00Z,12.7,10.6,7.4,,0.4,8.0,48.1
2025-01-01 23:00:00Z,13.0,10.9,7.0,,0.4,7.7,49.8
2025-01-02 00:00:00Z,13.1,10.6,5.0,,0.2,5.5,51.6
2025-01-02 01:00:00Z,13.9,10.8,6.0,,0.2,6.3,50.8
2025-01-02 02:00:00Z,12.1,9.1,8.3,,0.1,8.6,52.2
2025-01-02 03:00:00Z,5.5,4.4,6.0,,0.1,6.1,66.7
2025-01-02 04:00:00Z,1.0,0.6,8.1,,0.1,8.4,74.1
2025-01-02 05:00:00Z,1.2,0.9,11.7,,0.3,12.2,68.0
2025-01-02 06:00:00Z,1.4,1.2,16.1,,0.3,16.7,63.5
2025-01-02 07:00:00Z,1.5,1.0,25.8,,2.4,29.5,57.6
2025-01-02 08:00:00Z,1.7,1.1,21.0,,1.6,23.3,66.1
2025-01-02 09:00:00Z,1.8,1.1,18.7,,1.1,20.4,67.3
2025-01-02 10:00:00Z,3.2,2.3,27.3,,1.9,30.3,55.7
2025-01-02 11:00:00Z,4.1,2.8,30.8,,2.6,34.9,53.0
2025-01-02 12:00:00Z,4.7,3.3,29.6,,2.9,34.0,52.0
2025-01-02 13:00:00Z,5.2,3.6,33.0,,3.5,38.5,47.7
2025-01-02 14:00:00Z,4.9,3.9,30.8,,2.7,35.0,48.2
2025-01-02 15:00:00Z,6.4,5.5,31.1,,3.1,36.0,45.2
2025-01-02 16:00:00Z,10.0,8.7,33.4,,3.1,37.9,40.9
2025-01-02 17:00:00Z,14.3,12.0,37.5,,2.8,41.8,34.6
2025-01-02 18:00:00Z,12.1,11.0,29.7,,1.7,32.3,40.8
2025-01-02 19:00:00Z,12.9,11.8,26.4,,1.5,28.7,40.7
2025-01-02 20:00:00Z,13.0,11.8,28.7,,0.9,30.2,36.0
2025-01-02 21:00:00Z,12.7,10.6,21.6,,0.8,22.8,43.9
2025-01-02 22:00:00Z,13.2,10.5,20.5,,0.8,21.7,44.2
2025-01-02 23:00:00Z,12.8,9.6,21.6,,0.6,22.5,44.2
2025-01-03 00:00:00Z,12.0,8.0,17.6,,0.3,18.1,48.4
2025-01-03 01:00:00Z,12.1,8.5,22.6,,0.2,23.0,38.6
2025-01-03 02:00:00Z,12.0,9.3,25.7,,0.4,26.3,30.2
2025-01-03 03:00:00Z,10.5,8.4,26.6,,0.5,27.3,21.4
2025-01-03 04:00:00Z,11.4,9.4,39.5,,13.1,59.6,7.7
2025-01-03 05:00:00Z,13.7,10.6,52.9,,67.6,156.6,0.4
2025-01-03 06:00:00Z,16.9,11.0,48.9,,52.7,129.8,0.2
2025-01-03 07:00:00Z,14.5,10.5,53.6,,38.0,111.9,0.2
2025-01-03 08:00:00Z,15.4,12.1,59.3,,103.9,218.6,0.5
2025-01-03 09:00:00Z,18.5,15.6,60.7,,134.0,266.1,1.6
2025-01-03 10:00:00Z,22.8,19.2,61.1,,95.3,207.2,4.2
2025-01-03 11:00:00Z,20.4,15.9,48.7,,47.0,120.7,12.5
2025-01-03 12:00:00Z,20.5,14.7,39.9,,20.6,71.4,26.9
2025-01-03 13:00:00Z,13.6,8.1,23.9,,6.9,34.4,50.0
2025-01-03 14:00:00Z,8.8,4.0,,,,,
2025-01-03 15:00:00Z,7.8,3.9,,,,,
2025-01-03 16:00:00Z,9.1,4.7,,,,,54.3
2025-01-03 17:00:00Z,14.3,8.0,50.3,,3.3,55.3,19.5
2025-01-03 18:00:00Z,26.6,15.8,59.0,,43.1,125.0,1.7
2025-01-03 19:00:00Z,40.2,26.2,62.1,,107.7,227.1,0.8
2025-01-03 20:00:00Z,30.6,22.2,63.2,,122.0,250.2,1.0
2025-01-03 21:00:00Z,41.9,36.2,63.7,,140.9,279.7,1.1
2025-01-03 22:00:00Z,50.5,45.2,60.3,,145.7,283.7,1.1
2025-01-03 23:00:00Z,70.0,67.1,65.3,,117.6,245.6,2.0
2025-01-04 00:00:00Z,63.5,61.0,50.2,,61.0,143.6,1.0
2025-01-04 01:00:00Z,71.3,69.5,44.5,,79.1,165.8,1.0
2025-01-04 02:00:00Z,48.4,47.5,37.9,,62.4,133.6,0.3
2025-01-04 03:00:00Z,28.2,27.9,33.5,,18.3,61.5,0.5
2025-01-04 04:00:00Z,20.6,20.4,35.8,,10.3,51.6,0.4
2025-01-04 05:00:00Z,17.2,16.9,36.8,,12.8,56.5,0.5
2025-01-04 06:00:00Z,16.2,16.0,37.8,,7.4,49.1,1.2
2025-01-04 07:00:00Z,16.8,16.6,38.3,,6.3,48.0,1.7
2025-01-04 08:00:00Z,16.2,15.8,36.8,,5.4,45.0,4.0
2025-01-04 09:00:00Z,17.0,16.1,30.2,,7.0,40.8,9.3
2025-01-04 10:00:00Z,15.4,14.2,25.1,,9.6,39.9,16.2
2025-01-04 11:00:00Z,16.7,14.8,21.5,,8.9,35.0,27.0
2025-01-04 12:00:00Z,12.8,10.8,13.8,,3.6,19.2,44.7
2025-01-04 13:00:00Z,8.9,7.3,9.6,,1.9,12.5,56.2
2025-01-04 14:00:00Z,6.9,5.7,9.1,,0.9,10.6,58.7
2025-01-04 15:00:00Z,7.4,6.1,10.2,,0.6,11.2,55.4
2025-01-04 16:00:00Z,10.1,8.7,12.3,,0.4,12.9,49.7
2025-01-04 17:00:00Z,13.5,11.9,15.9,,0.5,16.5,42.6
2025-01-04 18:00:00Z,13.9,12.2,17.7,,0.5,18.4,38.9
2025-01-04 19:00:00Z,12.1,10.9,16.1,,0.4,16.7,40.3
2025-01-04 20:00:00Z,11.4,10.2,13.3,,0.2,13.7,43.2
2025-01-04 21:00:00Z,11.1,10.2,11.1,,0.2,11.4,44.5
2025-01-04 22:00:00Z,11.7,11.2,12.9,,0.4,13.5,41.0
2025-01-04 23:00:00Z,10.7,10.2,15.2,,0.5,16.0,36.2
2025-01-05 00:00:00Z,10.6,10.3,18.1,,0.9,19.6,29.3
2025-01-05 01:00:00Z,9.0,8.7,16.5,,0.6,17.6,27.1
2025-01-05 02:00:00Z,6.4,6.2,14.7,,0.4,15.4,36.4
2025-01-05 03:00:00Z,2.6,2.3,7.1,,0.1,7.4,71.1
2025-01-05 04:00:00Z,2.5,1.8,5.5,,0.1,5.7,74.6
2025-01-05 05:00:00Z,3.9,3.3,6.2,,0.2,6.5,65.6
2025-01-05 06:00:00Z,5.1,4.2,6.0,,0.3,6.5,61.0
2025-01-05 07:00:00Z,7.3,5.9,7.1,,0.4,7.7,56.3
2025-01-05 08:00:00Z,7.2,5.7,8.3,,0.5,9.0,55.0
2025-01-05 09:00:00Z,6.7,5.3,7.4,,0.5,8.1,56.1
2025-01-05 10:00:00Z,6.9,5.2,7.2,,0.7,8.2,55.2
2025-01-05 11:00:00Z,6.7,4.9,8.7,,0.8,9.8,56.6
2025-01-05 12:00:00Z,7.1,4.8,9.5,,1.0,11.1,58.1
2025-01-05 13:00:00Z,7.6,5.3,8.4,,0.9,9.9,58.3
2025-01-05 14:00:00Z,7.2,5.1,7.9,,0.9,9.3,58.4
2025-01-05 15:00:00Z,7.4,5.4,9.1,,0.7,10.3,55.7
2025-01-05 16:00:00Z,7.8,6.1,12.0,,0.7,13.1,52.3
2025-01-05 17:00:00Z,9.1,7.0,17.3,,0.5,18.2,47.7
2025-01-05 18:00:00Z,9.1,6.9,18.5,,0.6,19.3,45.7
2025-01-05 19:00:00Z,10.0,7.4,17.1,,0.5,17.8,47.3
2025-01-05 20:00:00Z,9.3,7.2,16.0,,0.5,16.7,48.6
2025-01-05 21:00:00Z,9.1,6.6,18.5,,0.6,19.3,44.8
2025-01-05 22:00:00Z,7.3,5.7,14.1,,0.3,14.6,48.9
2025-01-05 23:00:00Z,6.4,4.7,7.1,,0.2,7.4,56.1
2025-01-06 00:00:00Z,5.6,4.0,5.1,,0.2,5.4,58.6
2025-01-06 01:00:00Z,5.3,4.1,4.5,,0.1,4.7,57.3
2025-01-06 02:00:00Z,6.1,4.3,4.0,,0.1,4.2,60.7
2025-01-06 03:00:00Z,6.4,4.5,4.8,,0.1,5.0,61.3
2025-01-06 04:00:00Z,6.8,4.6,5.5,,0.1,5.7,61.8
2025-01-06 05:00:00Z,7.2,4.8,7.0,,0.1,7.3,61.5
2025-01-06 06:00:00Z,6.8,4.9,10.1,,0.2,10.5,59.6
2025-01-06 07:00:00Z,6.9,4.8,9.2,,0.3,9.7,61.0
2025-01-06 08:00:00Z,7.2,4.7,10.2,,0.4,10.8,61.3
2025-01-06 09:00:00Z,7.4,4.7,10.1,,0.5,10.7,60.0
2025-01-06 10:00:00Z,8.2,4.3,9.4,,0.6,10.2,61.0
2025-01-06 11:00:00Z,3.9,1.9,8.4,,1.3,10.3,60.3
2025-01-06 12:00:00Z,2.7,1.3,6.8,,1.3,8.8,63.4
2025-01-06 13:00:00Z,2.6,1.5,6.9,,1.2,8.6,67.5
2025-01-06 14:00:00Z,4.3,2.1,6.8,,1.1,8.5,72.7
2025-01-06 15:00:00Z,6.0,3.1,9.4,,1.5,11.8,71.1
2025-01-06 16:00:00Z,5.3,3.3,13.8,,2.0,16.8,68.0
2025-01-06 17:00:00Z,12.6,7.6,19.9,,1.3,21.9,59.0
2025-01-06 18:00:00Z,11.4,7.0,19.6,,1.0,21.1,57.1
2025-01-06 19:00:00Z,10.2,5.9,15.4,,0.6,16.4,59.6
2025-01-06 20:00:00Z,10.4,6.1,11.8,,0.6,12.7,64.3
2025-01-06 21:00:00Z,10.2,7.1,9.8,,0.4,10.4,65.2
2025-01-06 22:00:00Z,7.0,4.5,9.9,,0.5,10.6,65.4
2025-01-06 23:00:00Z,5.3,3.3,7.7,,0.3,8.1,68.0
2025-01-07 00:00:00Z,5.3,3.0,8.9,,0.3,9.3,66.1
2025-01-07 01:00:00Z,6.4,3.4,8.1,,0.2,8.5,66.3
2025-01-07 02:00:00Z,7.6,4.0,9.5,,0.1,9.6,63.5
2025-01-07 03:00:00Z,8.1,4.3,10.2,,0.2,10.6,62.9
2025-01-07 04:00:00Z,8.2,4.2,14.2,,0.3,14.7,60.1
2025-01-07 05:00:00Z,7.7,4.0,16.7,,0.9,18.1,57.8
2025-01-07 06:00:00Z,7.8,3.7,14.8,,0.9,16.2,60.0
2025-01-07 07:00:00Z,7.6,3.6,21.6,,1.9,24.5,52.4
2025-01-07 08:00:00Z,12.4,4.5,30.2,,3.0,34.8,42.8
2025-01-07 09:00:00Z,11.1,4.6,28.5,,3.3,33.6,43.4
2025-01-07 10:00:00Z,8.7,3.9,21.7,,3.7,27.4,50.0
2025-01-07 11:00:00Z,9.2,3.8,16.7,,3.9,22.7,55.3
2025-01-07 12:00:00Z,7.9,3.5,12.0,,3.1,16.7,61.8
2025-01-07 13:00:00Z,7.0,3.0,9.1,,2.3,12.7,66.1
2025-01-07 14:00:00Z,7.1,3.0,10.0,,1.8,13.0,65.4
2025-01-07 15:00:00Z,8.0,3.4,15.4,,2.2,18.6,59.6
2025-01-07 16:00:00Z,8.5,3.7,21.8,,1.6,24.3,52.7
2025-01-07 17:00:00Z,9.0,4.4,30.6,,1.6,33.0,43.6
2025-01-07 18:00:00Z,11.6,6.6,33.2,,1.3,35.2,38.7
2025-01-07 19:00:00Z,11.3,6.8,26.3,,1.2,28.2,43.8
2025-01-07 20:00:00Z,11.0,6.7,21.7,,0.9,22.9,47.1
2025-01-07 21:00:00Z,11.5,7.3,25.5,,1.0,27.1,41.1
2025-01-07 22:00:00Z,10.8,7.0,25.4,,0.6,26.4,40.5
2025-01-07 23:00:00Z,13.0,8.9,24.0,,0.9,25.4,38.1
2025-01-08 00:00:00Z,10.7,7.4,22.5,,0.5,23.2,40.1
2025-01-08 01:00:00Z,9.3,6.6,25.6,,0.6,26.6,36.7
2025-01-08 02:00:00Z,8.4,5.8,27.3,,0.5,28.1,34.6
2025-01-08 03:00:00Z,8.1,5.9,28.2,,0.6,29.1,30.3
2025-01-08 04:00:00Z,6.9,5.2,21.8,,0.6,22.7,35.5
2025-01-08 05:00:00Z,6.9,5.2,43.8,,4.8,51.1,14.3
2025-01-08 06:00:00Z,8.3,6.3,51.5,,3.8,57.4,8.5
2025-01-08 07:00:00Z,6.9,5.8,57.7,,4.6,64.8,8.4
2025-01-08 08:00:00Z,5.4,4.1,54.2,,2.6,58.1,15.6
2025-01-08 09:00:00Z,6.0,4.5,40.8,,2.2,44.2,26.8
2025-01-08 10:00:00Z,4.7,3.6,26.2,,1.1,27.9,47.9
2025-01-08 11:00:00Z,3.2,2.2,14.4,,0.8,15.6,63.1
2025-01-08 12:00:00Z,3.0,2.3,16.5,,0.9,17.9,60.3
2025-01-08 13:00:00Z,3.0,2.4,22.5,,1.2,24.4,53.5
2025-01-08 14:00:00Z,2.9,2.0,19.8,,0.8,21.2,56.1
2025-01-08 15:00:00Z,3.2,2.6,23.4,,0.9,24.8,50.5
2025-01-08 16:00:00Z,7.2,6.3,33.4,,1.9,36.2,34.1
2025-01-08 17:00:00Z,6.6,5.3,24.4,,1.3,26.5,39.5
2025-01-08 18:00:00Z,5.0,3.3,10.3,,0.7,11.4,65.0
2025-01-08 19:00:00Z,7.3,4.8,10.5,,0.6,11.4,67.8
2025-01-08 20:00:00Z,10.6,7.1,11.0,,0.5,11.7,69.7
2025-01-08 21:00:00Z,14.6,9.4,8.9,,0.4,9.3,72.7
2025-01-08 22:00:00Z,16.4,10.3,8.8,,0.3,9.2,72.1
2025-01-08 23:00:00Z,13.9,9.1,8.7,,0.2,9.0,70.3
2025-01-09 00:00:00Z,11.7,7.9,7.8,,0.1,8.0,70.7
2025-01-09 01:00:00Z,7.8,5.0,6.0,,0.1,6.1,74.8
2025-01-09 02:00:00Z,4.3,2.9,5.8,,0.0,5.9,73.6
2025-01-09 03:00:00Z,2.7,1.8,7.2,,0.1,7.3,67.8
2025-01-09 04:00:00Z,2.5,1.5,10.2,,0.1,10.5,59.6
2025-01-09 05:00:00Z,3.4,2.1,14.5,,0.2,14.8,58.5
2025-01-09 06:00:00Z,3.5,2.1,18.1,,0.4,18.6,59.6
2025-01-09 07:00:00Z,4.2,2.2,36.9,,1.7,39.5,40.3
2025-01-09 08:00:00Z,3.5,1.8,33.7,,4.1,39.9,42.1
2025-01-09 09:00:00Z,3.4,1.1,20.7,,2.7,24.8,40.1
2025-01-09 10:00:00Z,5.3,1.7,17.8,,2.0,20.9,47.1
2025-01-09 11:00:00Z,2.8,1.8,17.4,,1.9,20.3,59.1
2025-01-09 12:00:00Z,3.3,2.1,14.2,,1.5,16.6,68.6
2025-01-09 13:00:00Z,5.3,3.0,14.4,,2.3,17.9,68.1
2025-01-09 14:00:00Z,7.1,3.9,14.0,,2.4,17.7,67.9
2025-01-09 15:00:00Z,7.8,3.7,13.8,,2.3,17.4,67.2
2025-01-09 16:00:00Z,6.8,3.1,16.4,,2.5,20.2,63.3
2025-01-09 17:00:00Z,8.3,3.9,29.8,,4.6,36.8,45.5
2025-01-09 18:00:00Z,9.8,5.7,49.8,,4.9,57.3,22.2
2025-01-09 19:00:00Z,14.5,10.6,63.0,,7.0,73.7,9.2
2025-01-09 20:00:00Z,13.3,9.8,32.7,,1.9,35.7,32.2
2025-01-09 21:00:00Z,13.0,9.1,25.1,,1.1,26.7,38.2
2025-01-09 22:00:00Z,13.6,9.8,29.1,,1.2,30.9,32.4
2025-01-09 23:00:00Z,11.6,9.0,18.9,,0.7,20.0,39.6
2025-01-10 00:00:00Z,10.8,8.5,14.2,,0.6,15.2,41.3
2025-01-10 01:00:00Z,10.0,8.1,13.2,,0.2,13.6,40.7
2025-01-10 02:00:00Z,10.7,8.6,23.1,,0.5,23.9,26.6
2025-01-10 03:00:00Z,13.6,11.2,34.4,,1.1,36.1,14.4
2025-01-10 04:00:00Z,12.1,9.5,33.3,,1.2,35.2,16.5
2025-01-10 05:00:00Z,11.7,8.8,42.6,,4.2,49.0,8.1
2025-01-10 06:00:00Z,11.2,8.3,47.3,,8.4,60.3,3.2
2025-01-10 07:00:00Z,12.8,9.3,52.2,,25.2,91.0,0.6
2025-01-10 08:00:00Z,13.6,10.2,53.6,,25.6,92.9,1.1
2025-01-10 09:00:00Z,18.7,12.7,50.6,,28.4,94.2,2.3
2025-01-10 10:00:00Z,19.6,12.3,48.4,,23.6,84.6,6.2
2025-01-10 11:00:00Z,18.4,12.1,32.3,,8.8,45.8,21.6
2025-01-10 12:00:00Z,12.1,8.7,19.7,,3.5,25.0,40.8
2025-01-10 13:00:00Z,8.8,6.6,13.4,,2.0,16.4,53.0
2025-01-10 14:00:00Z,8.4,6.0,14.4,,1.6,16.7,53.6
2025-01-10 15:00:00Z,6.1,3.8,13.1,,0.9,14.5,61.3
2025-01-10 16:00:00Z,6.4,3.6,16.7,,0.5,17.6,58.3
2025-01-10 17:00:00Z,12.5,8.0,37.2,,2.1,40.4,29.3
2025-01-10 18:00:00Z,18.5,12.8,58.0,,12.0,76.4,7.3
2025-01-10 19:00:00Z,24.9,17.4,63.5,,17.2,89.8,1.6
2025-01-10 20:00:00Z,26.5,21.6,61.1,,18.7,89.8,1.4
2025-01-10 21:00:00Z,31.1,27.7,55.4,,28.4,98.9,1.0
2025-01-10 22:00:00Z,38.0,35.1,50.6,,30.9,97.9,1.2
2025-01-10 23:00:00Z,37.2,33.0,47.7,,27.5,89.9,0.7
2025-01-11 00:00:00Z,30.3,27.9,41.2,,5.5,49.8,2.4
2025-01-11 01:00:00Z,29.2,26.5,31.8,,4.4,38.4,9.0
2025-01-11 02:00:00Z,23.9,22.4,14.9,,0.7,16.0,24.4
2025-01-11 03:00:00Z,20.2,19.1,12.7,,0.4,13.2,32.7
2025-01-11 04:00:00Z,16.4,15.9,13.1,,0.6,14.1,36.6
2025-01-11 05:00:00Z,14.4,13.6,10.9,,0.5,11.6,42.5
2025-01-11 06:00:00Z,12.2,11.7,9.7,,0.1,9.8,44.7
2025-01-11 07:00:00Z,11.0,10.5,11.4,,0.4,11.9,46.1
2025-01-11 08:00:00Z,12.6,11.2,15.8,,1.2,17.7,44.4
2025-01-11 09:00:00Z,12.2,10.8,15.2,,1.3,17.3,46.9
2025-01-11 10:00:00Z,13.6,11.7,21.5,,4.5,28.4,42.9
2025-01-11 11:00:00Z,16.6,14.3,24.9,,6.9,35.6,39.7
2025-01-11 12:00:00Z,20.8,17.6,30.3,,9.6,45.0,36.2
2025-01-11 13:00:00Z,20.3,17.6,32.6,,12.0,51.0,35.3
2025-01-11 14:00:00Z,21.9,18.7,30.7,,9.2,44.8,36.6
2025-01-11 15:00:00Z,25.6,21.3,39.7,,9.0,53.4,26.5
2025-01-11 16:00:00Z,26.3,21.9,41.5,,5.6,50.1,24.4
2025-01-11 17:00:00Z,27.3,23.6,40.6,,3.0,45.2,23.2
2025-01-11 18:00:00Z,32.5,28.3,41.1,,3.2,45.9,20.4
2025-01-11 19:00:00Z,27.7,24.4,38.9,,2.2,42.2,23.2
2025-01-11 20:00:00Z,29.3,26.1,39.0,,2.4,42.9,20.8
2025-01-11 21:00:00Z,32.4,29.0,38.4,,2.4,42.0,17.9
2025-01-11 22:00:00Z,37.5,34.4,39.2,,2.4,42.8,14.8
2025-01-11 23:00:00Z,30.5,28.7,30.9,,1.7,33.5,22.7
2025-01-12 00:00:00Z,25.6,24.2,24.2,,0.8,25.3,30.8
2025-01-12 01:00:00Z,20.1,19.2,18.6,,0.4,19.2,36.9
2025-01-12 02:00:00Z,22.0,20.6,20.5,,0.3,21.1,33.4
2025-01-12 03:00:00Z,23.6,22.2,23.5,,0.5,24.2,29.8
2025-01-12 04:00:00Z,19.2,18.0,18.8,,0.4,19.5,37.8
2025-01-12 05:00:00Z,16.7,15.6,16.4,,0.5,17.3,38.6
2025-01-12 06:00:00Z,16.6,15.5,15.3,,0.4,16.0,36.2
2025-01-12 07:00:00Z,15.6,14.4,20.1,,0.6,21.1,28.7
2025-01-12 08:00:00Z,15.3,14.1,26.6,,1.5,29.0,20.7
2025-01-12 09:00:00Z,17.0,15.3,29.2,,3.6,34.7,18.4
2025-01-12 10:00:00Z,16.3,14.4,28.6,,6.7,38.8,21.6
2025-01-12 11:00:00Z,17.6,14.1,30.6,,7.6,42.3,23.4
2025-01-12 12:00:00Z,21.0,17.1,37.0,,12.1,55.6,18.3
2025-01-12 13:00:00Z,21.4,18.7,34.1,,9.0,47.8,23.1
2025-01-12 14:00:00Z,24.1,21.1,37.3,,8.9,50.9,20.2
2025-01-12 15:00:00Z,21.2,18.9,23.0,,3.6,28.5,33.4
2025-01-12 16:00:00Z,15.4,13.5,18.3,,1.7,21.0,40.2
2025-01-12 17:00:00Z,14.5,12.6,20.7,,1.2,22.6,42.0
2025-01-12 18:00:00Z,14.9,13.0,26.5,,1.5,28.8,39.6
2025-01-12 19:00:00Z,16.1,14.0,32.5,,1.8,35.1,35.5
2025-01-12 20:00:00Z,20.1,17.2,44.6,,2.0,47.6,23.2
2025-01-12 21:00:00Z,23.8,21.5,63.3,,8.8,76.8,4.0
2025-01-12 22:00:00Z,30.5,28.1,58.4,,12.3,77.2,1.3
2025-01-12 23:00:00Z,28.1,26.4,52.3,,6.3,61.8,4.1
2025-01-13 00:00:00Z,27.5,26.1,41.9,,1.4,44.1,11.5
2025-01-13 01:00:00Z,29.0,27.1,29.6,,0.7,30.6,21.7
2025-01-13 02:00:00Z,20.4,19.0,14.9,,0.2,15.3,45.2
2025-01-13 03:00:00Z,16.8,15.9,14.4,,0.2,14.6,48.9
2025-01-13 04:00:00Z,11.8,10.7,11.4,,0.0,11.5,60.0
2025-01-13 05:00:00Z,12.6,11.4,12.1,,0.1,12.3,58.2
2025-01-13 06:00:00Z,13.0,11.2,12.2,,0.1,12.3,59.7
2025-01-13 07:00:00Z,10.9,9.1,11.8,,0.1,12.1,62.2
2025-01-13 08:00:00Z,11.1,9.2,15.5,,0.2,15.8,58.4
2025-01-13 09:00:00Z,17.1,11.4,32.3,,2.9,36.7,41.2
2025-01-13 10:00:00Z,17.4,12.5,23.8,,3.8,29.7,50.0
2025-01-13 11:00:00Z,17.2,11.4,21.2,,4.7,28.5,54.4
2025-01-13 12:00:00Z,14.4,10.2,14.3,,3.0,18.9,62.0
2025-01-13 13:00:00Z,13.4,10.0,13.3,,2.6,17.4,63.3
2025-01-13 14:00:00Z,12.4,9.7,14.5,,2.4,18.3,62.5
2025-01-13 15:00:00Z,15.0,9.9,19.1,,2.6,23.1,57.0
2025-01-13 16:00:00Z,14.6,9.8,25.3,,2.8,29.5,50.8
2025-01-13 17:00:00Z,15.9,11.1,42.3,,5.1,50.1,33.3
2025-01-13 18:00:00Z,17.9,12.3,58.3,,7.8,70.3,18.5
2025-01-13 19:00:00Z,19.9,13.8,63.7,,6.2,73.2,11.9
2025-01-13 20:00:00Z,20.1,15.4,53.0,,3.8,58.8,18.6
2025-01-13 21:00:00Z,23.9,19.9,50.6,,3.8,56.3,18.1
2025-01-13 22:00:00Z,24.9,19.9,48.3,,1.9,51.3,17.7
2025-01-13 23:00:00Z,26.3,21.6,60.6,,5.4,68.9,6.4
2025-01-14 00:00:00Z,26.0,20.9,64.4,,8.7,77.7,2.5
2025-01-14 01:00:00Z,21.7,18.5,59.4,,4.6,66.6,4.0
2025-01-14 02:00:00Z,19.5,17.0,62.1,,5.2,70.0,2.1
2025-01-14 03:00:00Z,20.8,18.4,61.0,,6.2,70.4,1.6
2025-01-14 04:00:00Z,21.0,18.5,58.5,,10.1,73.9,2.3
2025-01-14 05:00:00Z,18.9,16.7,55.1,,4.7,62.5,3.8
2025-01-14 06:00:00Z,21.2,17.7,57.8,,19.1,87.1,1.2
2025-01-14 07:00:00Z,37.6,21.5,61.1,,74.2,174.9,0.2
2025-01-14 08:00:00Z,49.0,23.1,66.4,,110.5,235.9,0.6
2025-01-14 09:00:00Z,,,66.8,,111.0,236.9,2.7
2025-01-14 10:00:00Z,49.8,30.5,73.3,,144.7,295.1,3.8
2025-01-14 11:00:00Z,50.3,34.0,71.1,,124.2,261.6,6.6
2025-01-14 12:00:00Z,51.8,33.0,67.3,,86.8,200.4,10.1
2025-01-14 13:00:00Z,48.9,31.9,67.2,,71.3,176.6,11.7
2025-01-14 14:00:00Z,54.6,34.6,74.9,,72.6,186.1,9.9
2025-01-14 15:00:00Z,74.3,43.4,81.5,,77.8,200.8,7.0
2025-01-14 16:00:00Z,76.6,52.1,75.0,,52.8,156.0,4.4
2025-01-14 17:00:00Z,60.5,39.5,69.9,,45.5,139.8,1.9
2025-01-14 18:00:00Z,75.1,57.3,66.7,,70.7,175.1,2.2
2025-01-14 19:00:00Z,74.9,48.7,66.2,,106.3,229.1,1.5
2025-01-14 20:00:00Z,75.0,50.8,63.1,,115.7,240.5,0.8
2025-01-14 21:00:00Z,65.5,44.3,61.0,,111.0,231.2,1.0
2025-01-14 22:00:00Z,60.7,44.3,63.3,,112.9,236.3,1.0
2025-01-14 23:00:00Z,54.2,44.8,60.0,,82.5,186.5,1.2
2025-01-15 00:00:00Z,53.0,44.4,57.0,,67.0,159.8,0.8
2025-01-15 01:00:00Z,47.5,41.7,56.7,,47.1,129.1,0.7
2025-01-15 02:00:00Z,39.6,36.4,55.4,,20.6,86.9,0.7
2025-01-15 03:00:00Z,40.7,38.1,53.2,,19.9,83.7,0.9
2025-01-15 04:00:00Z,39.0,36.7,57.1,,35.6,111.8,0.9
2025-01-15 05:00:00Z,45.7,41.8,57.3,,64.8,156.6,0.7
2025-01-15 06:00:00Z,57.1,53.0,52.1,,58.0,141.0,0.4
