,ELYS:PM10,ELYS:PM25,ELYS:NO2,ELYS:NO,ELYS:NOX
,Avenue des Champs Elysées,Avenue des Champs Elysées,Avenue des Champs Elysées,Avenue des Champs Elysées,Avenue des Champs Elysées
,ELYS,ELYS,ELYS,ELYS,ELYS
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote
,PM10,PM25,NO2,NO,NOX
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2025-01-01 01:00:00Z,,9.0,,,
2025-01-01 02:00:00Z,,6.2,,,
2025-01-01 03:00:00Z,,3.9,10.4,5.4,18.8
2025-01-01 04:00:00Z,,5.9,11.6,6.1,21.1
2025-01-01 05:00:00Z,,6.0,9.9,4.4,16.6
2025-01-01 06:00:00Z,,5.8,10.6,4.0,16.8
2025-01-01 07:00:00Z,,4.1,11.0,1.5,13.5
2025-01-01 08:00:00Z,,9.8,10.7,3.3,15.6
2025-01-01 09:00:00Z,,8.1,9.3,7.9,21.3
2025-01-01 10:00:00Z,,6.8,9.5,4.3,16.0
2025-01-01 11:00:00Z,,7.2,13.6,13.0,33.6
2025-01-01 12:00:00Z,,9.7,15.5,10.3,31.2
2025-01-01 13:00:00Z,,9.6,13.6,14.1,35.3
2025-01-01 14:00:00Z,,8.1,14.8,9.3,29.1
2025-01-01 15:00:00Z,,7.4,15.9,11.8,34.1
2025-01-01 16:00:00Z,,5.4,15.5,11.3,32.9
2025-01-01 17:00:00Z,,4.2,16.9,12.8,36.6
2025-01-01 18:00:00Z,,5.8,18.0,12.8,37.7
2025-01-01 19:00:00Z,,7.7,15.9,9.5,30.5
2025-01-01 20:00:00Z,,11.5,19.1,10.2,34.7
2025-01-01 21:00:00Z,,6.7,12.4,10.6,28.6
2025-01-01 22:00:00Z,,10.2,11.6,6.3,21.1
2025-01-01 23:00:00Z,,9.4,9.4,4.8,16.8
2025-01-02 00:00:00Z,,8.0,6.8,3.0,11.5
2025-01-02 01:00:00Z,,7.8,6.2,2.0,9.3
2025-01-02 02:00:00Z,,10.0,8.9,2.6,12.9
2025-01-02 03:00:00Z,,6.6,11.3,1.1,13.0
2025-01-02 04:00:00Z,,4.4,13.9,1.4,16.1
2025-01-02 05:00:00Z,,5.7,12.8,0.9,14.1
2025-01-02 06:00:00Z,,4.3,23.0,5.3,31.1
2025-01-02 07:00:00Z,,3.5,33.4,10.7,49.8
2025-01-02 08:00:00Z,,3.9,31.2,9.3,45.5
2025-01-02 09:00:00Z,,6.5,33.6,13.5,54.3
2025-01-02 10:00:00Z,,5.9,31.1,12.3,50.0
2025-01-02 11:00:00Z,,5.5,37.2,18.8,65.9
2025-01-02 12:00:00Z,,6.6,33.3,15.5,57.1
2025-01-02 13:00:00Z,,7.5,40.4,18.2,68.2
2025-01-02 14:00:00Z,,5.8,39.3,24.5,76.7
2025-01-02 15:00:00Z,,8.9,34.7,13.9,56.0
2025-01-02 16:00:00Z,,9.8,35.9,14.7,58.4
2025-01-02 17:00:00Z,,10.9,31.0,8.1,43.2
2025-01-02 18:00:00Z,,12.2,29.0,10.8,45.4
2025-01-02 19:00:00Z,,13.2,34.8,10.9,51.6
2025-01-02 20:00:00Z,,14.1,39.1,12.2,57.7
2025-01-02 21:00:00Z,,20.6,34.5,10.2,49.1
2025-01-02 22:00:00Z,,10.1,29.5,8.2,42.1
2025-01-02 23:00:00Z,,12.6,32.3,9.3,46.5
2025-01-03 00:00:00Z,,11.8,31.3,10.3,47.2
2025-01-03 01:00:00Z,,10.2,28.7,9.1,42.7
2025-01-03 02:00:00Z,,8.1,30.1,10.7,46.4
2025-01-03 03:00:00Z,,7.1,26.3,6.7,37.1
2025-01-03 04:00:00Z,,14.1,31.2,8.2,43.6
2025-01-03 05:00:00Z,,9.1,43.1,20.0,74.0
2025-01-03 06:00:00Z,,13.7,42.5,22.5,76.6
2025-01-03 07:00:00Z,,11.0,56.7,47.0,128.6
2025-01-03 08:00:00Z,,13.3,52.6,45.5,122.2
2025-01-03 09:00:00Z,,11.8,55.9,59.1,147.2
2025-01-03 10:00:00Z,,10.4,44.0,32.0,93.2
2025-01-03 11:00:00Z,,12.7,39.2,28.6,82.9
2025-01-03 12:00:00Z,,14.4,42.0,33.5,93.4
2025-01-03 13:00:00Z,,15.0,33.5,17.9,61.0
2025-01-03 14:00:00Z,,8.5,29.5,16.0,54.1
2025-01-03 15:00:00Z,,7.5,29.5,18.4,57.8
2025-01-03 16:00:00Z,,9.1,30.7,12.4,49.7
2025-01-03 17:00:00Z,,10.4,41.0,21.2,73.6
2025-01-03 18:00:00Z,,8.7,37.6,17.1,63.7
2025-01-03 19:00:00Z,,13.2,59.8,40.8,122.4
2025-01-03 20:00:00Z,,17.2,80.2,89.2,217.0
2025-01-03 21:00:00Z,,25.6,74.6,102.2,231.3
2025-01-03 22:00:00Z,,32.6,79.1,167.4,335.8
2025-01-03 23:00:00Z,,25.5,77.5,167.2,333.8
2025-01-04 00:00:00Z,,38.7,69.5,116.0,247.2
2025-01-04 01:00:00Z,,37.4,60.5,65.4,160.8
2025-01-04 02:00:00Z,,50.1,59.3,107.8,224.7
2025-01-04 03:00:00Z,,50.0,45.7,81.7,170.9
2025-01-04 04:00:00Z,,33.8,41.0,46.9,113.1
2025-01-04 05:00:00Z,,21.3,44.0,32.6,94.0
2025-01-04 06:00:00Z,,21.4,44.6,31.0,92.3
2025-01-04 07:00:00Z,,14.9,46.5,22.1,80.4
2025-01-04 08:00:00Z,,11.7,47.6,17.8,74.9
2025-01-04 09:00:00Z,,10.6,37.2,15.4,60.8
2025-01-04 10:00:00Z,,19.9,33.9,15.7,57.9
2025-01-04 11:00:00Z,,15.5,27.1,15.1,50.4
2025-01-04 12:00:00Z,,11.5,23.0,10.3,38.7
2025-01-04 13:00:00Z,,7.9,20.6,8.6,33.7
2025-01-04 14:00:00Z,,5.5,23.5,9.2,37.5
2025-01-04 15:00:00Z,,8.4,21.7,7.5,33.3
2025-01-04 16:00:00Z,,8.4,25.5,8.5,38.4
2025-01-04 17:00:00Z,,12.3,28.3,10.0,43.7
2025-01-04 18:00:00Z,,8.9,25.5,6.5,35.4
2025-01-04 19:00:00Z,,9.2,30.3,9.0,44.1
2025-01-04 20:00:00Z,,15.2,30.3,10.4,46.1
2025-01-04 21:00:00Z,,10.0,26.8,5.0,34.4
2025-01-04 22:00:00Z,,15.1,28.0,7.9,40.0
2025-01-04 23:00:00Z,,9.5,23.0,7.0,33.7
2025-01-05 00:00:00Z,,9.0,22.3,7.6,33.9
2025-01-05 01:00:00Z,,8.1,25.6,11.8,43.8
2025-01-05 02:00:00Z,,6.4,28.7,12.0,47.2
2025-01-05 03:00:00Z,,6.3,14.7,4.0,20.9
2025-01-05 04:00:00Z,,4.7,8.5,3.3,13.5
2025-01-05 05:00:00Z,,1.7,6.8,2.1,9.9
2025-01-05 06:00:00Z,,1.5,7.2,1.6,9.6
2025-01-05 07:00:00Z,,2.5,6.9,1.2,8.8
2025-01-05 08:00:00Z,,3.5,7.4,1.7,10.0
2025-01-05 09:00:00Z,,4.6,8.1,2.3,11.7
2025-01-05 10:00:00Z,,6.7,11.3,4.7,18.5
2025-01-05 11:00:00Z,,4.5,12.0,4.0,18.2
2025-01-05 12:00:00Z,,3.7,13.2,4.8,20.7
2025-01-05 13:00:00Z,,6.0,12.1,6.0,21.3
2025-01-05 14:00:00Z,,7.0,12.6,5.3,20.7
2025-01-05 15:00:00Z,,9.1,12.7,6.0,21.8
2025-01-05 16:00:00Z,,6.0,15.0,11.6,32.8
2025-01-05 17:00:00Z,,6.3,13.9,6.4,23.6
2025-01-05 18:00:00Z,,9.6,16.3,6.1,25.6
2025-01-05 19:00:00Z,,7.5,20.9,13.2,41.1
2025-01-05 20:00:00Z,,6.4,16.5,5.0,24.2
2025-01-05 21:00:00Z,,5.6,14.7,3.1,19.6
2025-01-05 22:00:00Z,,4.2,12.4,10.6,28.6
2025-01-05 23:00:00Z,,3.4,8.0,2.6,12.1
2025-01-06 00:00:00Z,,3.3,6.5,2.4,10.3
2025-01-06 01:00:00Z,,4.6,6.3,2.6,10.3
2025-01-06 02:00:00Z,,3.0,4.6,1.0,6.2
2025-01-06 03:00:00Z,,1.9,5.2,2.0,8.3
2025-01-06 04:00:00Z,,5.7,5.8,1.6,8.3
2025-01-06 05:00:00Z,,5.5,5.8,2.6,9.8
2025-01-06 06:00:00Z,,7.7,9.4,3.2,14.3
2025-01-06 07:00:00Z,,6.9,15.9,5.5,24.4
2025-01-06 08:00:00Z,,6.3,16.5,8.1,29.1
2025-01-06 09:00:00Z,,5.9,17.1,8.7,30.4
2025-01-06 10:00:00Z,,4.8,14.0,8.2,26.7
2025-01-06 11:00:00Z,,2.9,15.4,11.2,32.4
2025-01-06 12:00:00Z,,3.6,14.1,9.0,27.8
2025-01-06 13:00:00Z,,6.0,14.8,12.2,33.6
2025-01-06 14:00:00Z,,6.4,15.7,11.6,33.5
2025-01-06 15:00:00Z,,3.3,16.6,11.7,34.6
2025-01-06 16:00:00Z,,5.6,25.3,13.7,46.5
2025-01-06 17:00:00Z,,6.3,34.1,11.6,51.9
2025-01-06 18:00:00Z,,5.9,27.2,9.8,42.2
2025-01-06 19:00:00Z,,6.8,22.1,7.8,34.0
2025-01-06 20:00:00Z,,4.8,21.1,8.3,33.9
2025-01-06 21:00:00Z,,2.4,17.4,5.5,25.8
2025-01-06 22:00:00Z,,2.6,15.5,3.5,20.9
2025-01-06 23:00:00Z,,7.3,12.6,4.9,20.1
2025-01-07 00:00:00Z,,6.9,9.3,3.1,14.0
2025-01-07 01:00:00Z,,3.8,7.2,3.5,12.6
2025-01-07 02:00:00Z,,1.6,6.4,2.2,9.7
2025-01-07 03:00:00Z,,0.8,6.2,1.4,8.5
2025-01-07 04:00:00Z,,3.4,7.1,4.6,14.0
2025-01-07 05:00:00Z,,5.5,9.0,5.0,16.6
2025-01-07 06:00:00Z,,4.5,16.3,9.0,30.1
2025-01-07 07:00:00Z,,4.9,28.5,16.2,53.3
2025-01-07 08:00:00Z,,5.2,31.8,17.0,58.0
2025-01-07 09:00:00Z,,6.8,34.1,22.4,68.4
2025-01-07 10:00:00Z,,5.4,28.9,21.5,61.9
2025-01-07 11:00:00Z,,1.8,22.3,15.3,45.8
2025-01-07 12:00:00Z,,2.5,21.0,15.7,45.2
2025-01-07 13:00:00Z,,7.6,18.3,13.4,38.9
2025-01-07 14:00:00Z,,8.4,18.6,12.1,37.3
2025-01-07 15:00:00Z,,8.1,21.7,14.3,43.7
2025-01-07 16:00:00Z,,4.4,24.1,11.4,41.7
2025-01-07 17:00:00Z,,1.2,28.4,12.8,48.0
2025-01-07 18:00:00Z,,4.1,33.9,11.7,51.8
2025-01-07 19:00:00Z,,9.4,44.1,14.1,65.6
2025-01-07 20:00:00Z,,6.7,32.8,9.1,46.8
2025-01-07 21:00:00Z,,8.7,31.8,10.1,47.5
2025-01-07 22:00:00Z,,7.8,30.8,7.4,42.1
2025-01-07 23:00:00Z,,8.9,29.1,9.5,43.9
2025-01-08 00:00:00Z,,7.4,22.1,5.8,31.0
2025-01-08 01:00:00Z,,7.6,19.0,5.1,26.7
2025-01-08 02:00:00Z,,8.0,16.7,6.4,26.6
2025-01-08 03:00:00Z,,9.5,15.6,4.4,22.4
2025-01-08 04:00:00Z,,6.0,20.9,7.4,32.4
2025-01-08 05:00:00Z,,4.6,17.7,5.6,26.4
2025-01-08 06:00:00Z,,5.1,37.3,13.0,57.2
2025-01-08 07:00:00Z,,8.2,48.3,20.9,80.4
2025-01-08 08:00:00Z,,7.8,56.0,31.0,103.3
2025-01-08 09:00:00Z,,4.8,46.5,10.4,62.5
2025-01-08 10:00:00Z,,3.8,33.0,7.5,44.4
2025-01-08 11:00:00Z,,2.5,27.8,8.5,40.9
2025-01-08 12:00:00Z,,3.1,31.4,11.1,48.3
2025-01-08 13:00:00Z,,4.5,30.5,8.4,43.4
2025-01-08 14:00:00Z,,6.1,29.6,7.5,41.1
2025-01-08 15:00:00Z,,2.9,44.1,10.1,59.7
2025-01-08 16:00:00Z,,2.5,52.3,17.7,79.3
2025-01-08 17:00:00Z,,6.3,42.7,11.3,60.0
2025-01-08 18:00:00Z,,8.7,18.3,6.3,28.0
2025-01-08 19:00:00Z,,6.3,24.6,7.2,35.7
2025-01-08 20:00:00Z,,7.0,24.3,6.5,34.3
2025-01-08 21:00:00Z,,11.0,17.0,3.8,22.9
2025-01-08 22:00:00Z,,10.6,17.9,9.8,33.0
2025-01-08 23:00:00Z,,7.1,12.4,3.2,17.4
2025-01-09 00:00:00Z,,6.1,10.0,4.2,16.3
2025-01-09 01:00:00Z,,5.5,8.6,5.2,16.6
2025-01-09 02:00:00Z,,7.2,8.0,3.8,13.8
2025-01-09 03:00:00Z,,4.6,7.0,3.9,13.1
2025-01-09 04:00:00Z,,0.3,8.0,3.6,13.5
2025-01-09 05:00:00Z,,1.3,10.9,2.8,15.2
2025-01-09 06:00:00Z,,0.8,21.6,7.3,32.9
2025-01-09 07:00:00Z,,0.2,39.4,21.6,72.4
2025-01-09 08:00:00Z,,6.3,34.1,12.0,52.4
2025-01-09 09:00:00Z,,6.7,23.6,7.7,35.3
2025-01-09 10:00:00Z,,9.5,25.7,10.9,42.4
2025-01-09 11:00:00Z,,8.5,22.9,6.5,32.9
2025-01-09 12:00:00Z,,7.6,21.5,8.3,34.2
2025-01-09 13:00:00Z,,8.1,19.9,9.5,34.5
2025-01-09 14:00:00Z,,7.2,25.5,19.7,55.7
2025-01-09 15:00:00Z,,5.1,24.6,13.3,45.0
2025-01-09 16:00:00Z,,3.2,28.9,16.5,54.1
2025-01-09 17:00:00Z,,2.1,35.9,17.4,62.6
2025-01-09 18:00:00Z,,5.9,46.0,21.7,79.2
2025-01-09 19:00:00Z,,9.3,46.4,18.0,73.9
2025-01-09 20:00:00Z,,10.0,37.9,15.7,62.0
2025-01-09 21:00:00Z,,15.4,39.2,12.9,59.0
2025-01-09 22:00:00Z,,10.8,40.6,16.2,65.5
2025-01-09 23:00:00Z,,9.9,40.1,13.5,60.9
2025-01-10 00:00:00Z,,10.7,28.1,9.3,42.4
2025-01-10 01:00:00Z,,7.0,25.4,8.5,38.6
2025-01-10 02:00:00Z,,5.0,23.1,9.8,38.2
2025-01-10 03:00:00Z,,7.1,22.2,8.3,34.9
2025-01-10 04:00:00Z,,7.8,23.9,8.6,37.1
2025-01-10 05:00:00Z,,8.7,23.2,10.5,39.3
2025-01-10 06:00:00Z,,8.4,27.5,10.0,42.9
2025-01-10 07:00:00Z,,6.4,40.9,29.6,86.2
2025-01-10 08:00:00Z,,4.3,49.6,25.5,88.8
2025-01-10 09:00:00Z,,7.6,60.1,43.2,126.2
2025-01-10 10:00:00Z,,13.7,55.3,42.7,120.7
2025-01-10 11:00:00Z,,8.9,39.6,21.3,72.2
2025-01-10 12:00:00Z,,10.3,37.1,20.7,68.7
2025-01-10 13:00:00Z,,12.4,35.6,17.7,62.7
2025-01-10 14:00:00Z,,7.7,23.7,7.4,35.1
2025-01-10 15:00:00Z,,5.6,20.5,8.0,32.8
2025-01-10 16:00:00Z,,8.9,30.0,8.4,42.9
2025-01-10 17:00:00Z,,7.4,30.9,1.3,32.9
2025-01-10 18:00:00Z,,10.8,45.3,2.3,48.9
2025-01-10 19:00:00Z,,11.5,58.0,5.1,65.8
2025-01-10 20:00:00Z,,20.5,63.2,18.3,91.3
2025-01-10 21:00:00Z,,18.7,59.2,25.1,97.8
2025-01-10 22:00:00Z,,22.2,53.0,10.3,68.7
2025-01-10 23:00:00Z,,22.6,51.3,16.3,76.2
2025-01-11 00:00:00Z,,16.5,47.8,11.1,64.9
2025-01-11 01:00:00Z,,20.1,36.5,5.4,44.8
2025-01-11 02:00:00Z,,17.7,19.2,3.9,25.2
2025-01-11 03:00:00Z,,16.3,15.6,0.7,16.7
2025-01-11 04:00:00Z,,11.3,15.8,4.1,22.1
2025-01-11 05:00:00Z,,8.3,11.2,1.0,12.6
2025-01-11 06:00:00Z,,6.7,12.9,1.2,14.6
2025-01-11 07:00:00Z,,6.2,13.7,1.2,15.5
2025-01-11 08:00:00Z,,9.1,16.2,1.3,18.2
2025-01-11 09:00:00Z,,11.7,21.8,3.1,26.6
2025-01-11 10:00:00Z,,8.7,23.9,4.3,30.5
2025-01-11 11:00:00Z,,7.4,29.8,8.3,42.5
2025-01-11 12:00:00Z,,10.0,31.2,11.3,48.6
2025-01-11 13:00:00Z,,10.6,29.2,14.2,51.0
2025-01-11 14:00:00Z,,16.5,28.5,15.0,51.5
2025-01-11 15:00:00Z,,19.8,31.8,8.5,44.7
2025-01-11 16:00:00Z,,19.1,35.5,13.7,56.4
2025-01-11 17:00:00Z,,16.2,32.7,11.3,49.9
2025-01-11 18:00:00Z,,16.1,30.0,6.6,40.1
2025-01-11 19:00:00Z,,14.0,28.3,4.0,34.4
2025-01-11 20:00:00Z,,25.5,34.6,10.4,50.7
2025-01-11 21:00:00Z,,28.9,31.9,8.6,45.1
2025-01-11 22:00:00Z,,17.5,28.4,9.0,42.3
2025-01-11 23:00:00Z,,17.0,26.2,6.8,36.6
2025-01-12 00:00:00Z,,13.1,20.3,1.1,22.0
2025-01-12 01:00:00Z,,18.2,22.8,3.7,28.4
2025-01-12 02:00:00Z,,11.5,22.9,5.2,31.0
2025-01-12 03:00:00Z,,8.7,21.5,7.3,32.7
2025-01-12 04:00:00Z,,9.5,19.5,8.0,31.9
2025-01-12 05:00:00Z,,15.4,16.4,7.5,27.9
2025-01-12 06:00:00Z,,8.6,18.5,4.5,25.3
2025-01-12 07:00:00Z,,8.1,20.4,4.6,27.5
2025-01-12 08:00:00Z,,17.2,23.7,4.7,30.9
2025-01-12 09:00:00Z,,15.9,31.2,16.6,56.7
2025-01-12 10:00:00Z,,11.6,30.9,18.1,58.7
2025-01-12 11:00:00Z,,14.7,28.1,13.3,48.5
2025-01-12 12:00:00Z,,18.9,33.9,21.1,65.8
2025-01-12 13:00:00Z,,19.5,32.0,14.4,54.0
2025-01-12 14:00:00Z,,16.5,28.8,6.3,38.3
2025-01-12 15:00:00Z,,15.9,27.6,3.9,33.5
2025-01-12 16:00:00Z,,15.6,28.4,2.7,32.5
2025-01-12 17:00:00Z,,12.8,27.0,1.7,29.6
2025-01-12 18:00:00Z,,16.9,36.7,2.0,39.8
2025-01-12 19:00:00Z,,13.6,40.7,1.8,43.4
2025-01-12 20:00:00Z,,16.8,49.0,3.0,53.6
2025-01-12 21:00:00Z,,24.4,51.6,4.7,58.8
2025-01-12 22:00:00Z,,23.3,44.9,4.3,51.3
2025-01-12 23:00:00Z,,22.7,34.8,1.4,36.9
2025-01-13 00:00:00Z,,15.8,29.7,1.1,31.4
2025-01-13 01:00:00Z,,12.7,33.6,1.4,35.7
2025-01-13 02:00:00Z,,8.0,14.8,0.6,15.7
2025-01-13 03:00:00Z,,7.7,12.2,0.8,13.2
2025-01-13 04:00:00Z,,11.1,10.6,0.5,11.4
2025-01-13 05:00:00Z,,8.2,13.5,1.4,15.6
2025-01-13 06:00:00Z,,10.8,13.3,1.1,14.9
2025-01-13 07:00:00Z,,7.3,22.9,4.8,30.2
2025-01-13 08:00:00Z,,9.3,21.0,6.7,31.4
2025-01-13 09:00:00Z,,8.1,23.9,3.6,29.4
2025-01-13 10:00:00Z,,10.8,30.6,6.4,40.4
2025-01-13 11:00:00Z,,12.8,30.5,7.9,42.5
2025-01-13 12:00:00Z,,9.3,23.6,6.3,33.3
2025-01-13 13:00:00Z,,11.5,19.3,4.8,26.8
2025-01-13 14:00:00Z,,9.0,18.6,3.7,24.3
2025-01-13 15:00:00Z,,10.2,20.7,4.5,27.6
2025-01-13 16:00:00Z,,6.5,29.6,2.5,33.4
2025-01-13 17:00:00Z,,10.2,35.8,2.3,39.4
2025-01-13 18:00:00Z,,6.9,40.2,2.8,44.4
2025-01-13 19:00:00Z,,12.1,45.9,2.6,49.9
2025-01-13 20:00:00Z,,13.1,52.4,2.5,56.2
2025-01-13 21:00:00Z,,16.5,55.2,5.2,63.1
2025-01-13 22:00:00Z,,21.0,61.6,7.9,73.7
2025-01-13 23:00:00Z,,21.2,57.7,11.5,75.3
2025-01-14 00:00:00Z,,19.5,46.9,3.1,51.7
2025-01-14 01:00:00Z,,15.8,47.2,4.8,54.5
2025-01-14 02:00:00Z,,18.1,44.1,6.0,53.3
2025-01-14 03:00:00Z,,14.6,39.3,7.7,51.0
2025-01-14 04:00:00Z,,13.3,46.3,14.1,67.8
2025-01-14 05:00:00Z,,17.8,51.9,13.5,72.6
2025-01-14 06:00:00Z,,11.5,59.8,28.8,104.0
2025-01-14 07:00:00Z,,18.5,61.4,57.4,149.3
2025-01-14 08:00:00Z,,30.2,65.0,102.8,222.7
2025-01-14 09:00:00Z,,26.7,60.8,67.2,163.8
2025-01-14 10:00:00Z,,25.9,67.0,102.7,224.4
2025-01-14 11:00:00Z,,37.2,69.6,88.9,205.9
2025-01-14 12:00:00Z,,35.8,73.6,100.4,227.5
2025-01-14 13:00:00Z,,41.5,75.8,89.7,213.3
2025-01-14 14:00:00Z,,49.3,76.2,84.0,205.1
2025-01-14 15:00:00Z,,41.0,62.2,48.2,136.0
2025-01-14 16:00:00Z,,19.8,53.4,26.6,94.1
2025-01-14 17:00:00Z,,17.0,52.3,15.2,75.6
2025-01-14 18:00:00Z,,20.9,68.0,31.8,116.7
2025-01-14 19:00:00Z,,27.1,67.8,45.6,137.7
2025-01-14 20:00:00Z,,28.5,65.2,40.5,127.3
2025-01-14 21:00:00Z,,30.5,63.4,33.9,115.4
2025-01-14 22:00:00Z,,28.6,62.7,29.9,108.6
2025-01-14 23:00:00Z,,39.3,65.9,57.0,153.3
2025-01-15 00:00:00Z,,33.8,61.4,60.2,153.6
2025-01-15 01:00:00Z,,39.0,56.7,31.8,105.4
2025-01-15 02:00:00Z,,39.5,54.8,30.2,101.0
2025-01-15 03:00:00Z,,28.5,54.4,21.9,87.9
2025-01-15 04:00:00Z,,33.9,56.1,36.5,112.1
2025-01-15 05:00:00Z,,36.1,53.8,27.1,95.3
2025-01-15 06:00:00Z,,32.9,55.2,38.3,113.9
2025-01-15 07:00:00Z,,39.0,61.3,88.6,197.3
2025-01-15 08:00:00Z,,39.5,54.2,89.2,191.0
2025-01-15 09:00:00Z,,,55.2,116.8,234.3
2025-01-15 10:00:00Z,,,49.6,83.5,177.7
2025-01-15 11:00:00Z,,,48.7,89.1,185.3
2025-01-15 12:00:00Z,,38.1,45.6,68.4,150.4
2025-01-15 13:00:00Z,,40.2,48.3,63.2,145.3
2025-01-15 14:00:00Z,,41.8,48.8,62.2,144.1
2025-01-15 15:00:00Z,,28.7,46.2,33.9,98.3
2025-01-15 16:00:00Z,,25.1,48.5,27.9,91.2
2025-01-15 17:00:00Z,,18.6,50.1,16.0,74.6
2025-01-15 18:00:00Z,,19.6,49.8,10.7,66.1
2025-01-15 19:00:00Z,,13.4,48.1,6.8,58.6
2025-01-15 20:00:00Z,,17.1,47.6,8.6,60.7
2025-01-15 21:00:00Z,,16.6,48.0,10.8,64.5
2025-01-15 22:00:00Z,,18.9,45.0,13.1,65.0
2025-01-15 23:00:00Z,,19.7,42.6,21.1,75.1
2025-01-16 00:00:00Z,,15.8,42.7,18.6,71.2
2025-01-16 01:00:00Z,,16.3,39.2,8.0,51.4
2025-01-16 02:00:00Z,,12.4,37.2,4.5,43.9
2025-01-16 03:00:00Z,,16.6,33.4,2.9,37.9
2025-01-16 04:00:00Z,,15.9,32.1,4.3,38.7
2025-01-16 05:00:00Z,,19.4,34.7,3.1,39.4
2025-01-16 06:00:00Z,,17.9,40.2,15.0,63.2
2025-01-16 07:00:00Z,,12.3,41.8,12.7,61.4
2025-01-16 08:00:00Z,,16.3,47.7,16.0,72.2
2025-01-16 09:00:00Z,,12.1,39.0,5.2,47.1
2025-01-16 10:00:00Z,,13.1,33.9,4.7,41.0
2025-01-16 11:00:00Z,,9.4,22.8,3.3,28.0
2025-01-16 12:00:00Z,,13.8,21.7,4.3,28.2
2025-01-16 13:00:00Z,,9.8,22.3,5.8,31.2
2025-01-16 14:00:00Z,,11.5,25.2,12.0,43.7
2025-01-16 15:00:00Z,,16.3,30.8,13.6,51.7
2025-01-16 16:00:00Z,,14.0,27.4,13.2,47.1
2025-01-16 17:00:00Z,,18.2,26.3,4.8,33.7
2025-01-16 18:00:00Z,,16.6,29.9,15.5,53.7
2025-01-16 19:00:00Z,,11.4,23.8,7.2,34.8
2025-01-16 20:00:00Z,,16.3,23.8,8.5,37.0
2025-01-16 21:00:00Z,,12.6,25.6,5.9,34.7
2025-01-16 22:00:00Z,,13.1,17.8,2.8,22.0
2025-01-16 23:00:00Z,,15.7,17.3,2.7,21.3
2025-01-17 00:00:00Z,,14.8,18.5,4.3,25.1
2025-01-17 01:00:00Z,,13.8,15.8,1.2,17.6
2025-01-17 02:00:00Z,,15.1,21.3,2.6,25.3
2025-01-17 03:00:00Z,,17.4,29.2,3.2,34.2
2025-01-17 04:00:00Z,,16.4,35.2,2.1,38.4
2025-01-17 05:00:00Z,,18.6,33.1,1.6,35.7
2025-01-17 06:00:00Z,,22.9,40.3,6.6,50.4
2025-01-17 07:00:00Z,,24.7,42.2,10.9,58.9
2025-01-17 08:00:00Z,,23.8,43.2,20.0,73.7
2025-01-17 09:00:00Z,,28.6,42.0,32.3,91.5
2025-01-17 10:00:00Z,,19.7,38.6,34.5,91.6
2025-01-17 11:00:00Z,,27.4,30.8,17.3,57.3
2025-01-17 12:00:00Z,,27.1,27.5,11.6,45.3
2025-01-17 13:00:00Z,,22.5,30.4,13.8,51.5
2025-01-17 14:00:00Z,,24.3,39.2,19.5,69.3
2025-01-17 15:00:00Z,,27.4,39.4,15.2,62.6
2025-01-17 16:00:00Z,,,38.0,12.3,56.9
2025-01-17 17:00:00Z,,23.4,43.3,13.5,64.1
2025-01-17 18:00:00Z,,21.5,41.8,13.1,61.7
2025-01-17 19:00:00Z,,23.6,39.5,12.5,58.7
2025-01-17 20:00:00Z,,31.0,37.1,7.1,48.1
2025-01-17 21:00:00Z,,27.8,35.1,5.0,42.8
2025-01-17 22:00:00Z,,25.7,30.8,3.3,35.8
2025-01-17 23:00:00Z,,25.9,25.1,7.3,36.3
2025-01-18 00:00:00Z,,20.5,20.9,3.1,25.7
2025-01-18 01:00:00Z,,14.1,16.6,0.9,17.9
2025-01-18 02:00:00Z,,18.0,15.3,5.4,23.6
2025-01-18 03:00:00Z,,18.8,13.9,4.3,20.4
2025-01-18 04:00:00Z,,14.7,13.9,4.1,20.3
2025-01-18 05:00:00Z,,23.7,15.1,5.2,23.1
2025-01-18 06:00:00Z,,17.4,15.5,1.0,17.0
2025-01-18 07:00:00Z,,22.6,16.8,1.8,19.7
2025-01-18 08:00:00Z,,16.1,16.8,4.1,23.0
2025-01-18 09:00:00Z,,18.7,16.9,7.4,28.3
2025-01-18 10:00:00Z,,23.2,18.7,4.7,25.9
2025-01-18 11:00:00Z,,20.8,16.7,6.8,27.2
2025-01-18 12:00:00Z,,21.4,20.7,8.9,34.3
2025-01-18 13:00:00Z,,23.9,18.8,7.3,30.0
2025-01-18 14:00:00Z,,24.9,17.8,7.0,28.6
2025-01-18 15:00:00Z,,26.7,23.6,9.5,38.2
2025-01-18 16:00:00Z,,17.4,20.1,6.2,29.5
2025-01-18 17:00:00Z,,16.3,21.6,7.6,33.4
2025-01-18 18:00:00Z,,20.2,19.6,5.1,27.4
2025-01-18 19:00:00Z,,19.8,19.2,7.1,30.1
2025-01-18 20:00:00Z,,22.0,24.4,7.7,36.2
2025-01-18 21:00:00Z,,22.7,25.3,13.8,46.3
2025-01-18 22:00:00Z,,24.0,24.6,7.5,36.1
2025-01-18 23:00:00Z,,26.4,40.0,20.7,71.8
