,BP_EST:PM10,BP_EST:PM25,BP_EST:NO2,BP_EST:NO,BP_EST:NOX
,Boulevard Périphérique Est,Boulevard Périphérique Est,Boulevard Périphérique Est,Boulevard Périphérique Est,Boulevard Périphérique Est
,BP_EST,BP_EST,BP_EST,BP_EST,BP_EST
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote
,PM10,PM25,NO2,NO,NOX
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3
2025-01-01 01:00:00Z,35.3,12.0,21.6,22.0,55.3
2025-01-01 02:00:00Z,13.7,10.4,21.9,23.7,58.2
2025-01-01 03:00:00Z,8.5,7.5,22.8,26.6,63.3
2025-01-01 04:00:00Z,9.1,4.5,24.4,27.9,67.3
2025-01-01 05:00:00Z,13.5,10.4,27.0,30.8,74.5
2025-01-01 06:00:00Z,13.6,8.4,27.5,30.7,74.5
2025-01-01 07:00:00Z,10.2,10.6,22.5,22.0,56.3
2025-01-01 08:00:00Z,9.9,10.9,15.2,13.5,35.9
2025-01-01 09:00:00Z,10.7,11.9,18.7,16.5,44.0
2025-01-01 10:00:00Z,12.1,6.9,21.7,21.7,54.8
2025-01-01 11:00:00Z,14.4,6.3,14.0,13.4,34.5
2025-01-01 12:00:00Z,11.4,7.4,16.9,17.1,42.8
2025-01-01 13:00:00Z,8.8,6.1,15.4,12.8,35.1
2025-01-01 14:00:00Z,11.4,4.0,18.1,16.0,42.8
2025-01-01 15:00:00Z,14.3,6.4,17.7,15.5,41.6
2025-01-01 16:00:00Z,14.7,9.6,20.5,20.4,52.1
2025-01-01 17:00:00Z,14.9,6.8,19.2,19.4,49.1
2025-01-01 18:00:00Z,16.5,8.9,18.0,15.3,41.5
2025-01-01 19:00:00Z,13.5,6.2,17.1,15.9,41.3
2025-01-01 20:00:00Z,10.7,6.2,18.5,17.9,46.1
2025-01-01 21:00:00Z,14.0,7.9,14.5,14.3,36.6
2025-01-01 22:00:00Z,9.5,9.1,11.6,7.5,23.0
2025-01-01 23:00:00Z,13.0,6.0,11.6,8.3,24.2
2025-01-02 00:00:00Z,19.1,6.6,8.2,5.7,16.8
2025-01-02 01:00:00Z,9.5,6.2,7.9,4.7,14.9
2025-01-02 02:00:00Z,9.0,6.3,6.3,0.7,7.1
2025-01-02 03:00:00Z,4.0,4.2,12.1,0.8,12.3
2025-01-02 04:00:00Z,2.8,3.4,26.2,7.1,36.8
2025-01-02 05:00:00Z,6.5,3.8,47.3,24.2,84.5
2025-01-02 06:00:00Z,5.8,6.2,54.5,41.4,118.1
2025-01-02 07:00:00Z,3.7,4.4,28.8,10.0,44.0
2025-01-02 08:00:00Z,4.6,5.1,22.6,9.1,36.5
2025-01-02 09:00:00Z,5.0,3.1,17.1,0.6,18.0
2025-01-02 10:00:00Z,7.4,1.8,35.2,17.6,61.7
2025-01-02 11:00:00Z,7.9,6.6,30.2,6.6,40.2
2025-01-02 12:00:00Z,6.0,4.1,29.1,11.4,46.4
2025-01-02 13:00:00Z,10.7,4.2,37.3,12.8,56.6
2025-01-02 14:00:00Z,1.9,7.1,24.1,5.1,31.2
2025-01-02 15:00:00Z,4.2,8.3,30.6,7.2,41.8
2025-01-02 16:00:00Z,6.5,8.0,29.8,2.3,33.4
2025-01-02 17:00:00Z,12.0,11.0,27.7,2.5,31.6
2025-01-02 18:00:00Z,9.9,10.6,23.9,5.0,31.4
2025-01-02 19:00:00Z,9.3,11.3,24.5,7.8,36.3
2025-01-02 20:00:00Z,9.4,9.0,25.9,3.5,31.1
2025-01-02 21:00:00Z,16.7,10.6,29.2,10.4,45.0
2025-01-02 22:00:00Z,13.1,10.1,24.4,5.5,32.9
2025-01-02 23:00:00Z,13.2,9.2,21.6,3.1,26.3
2025-01-03 00:00:00Z,15.2,8.5,28.0,5.7,37.0
2025-01-03 01:00:00Z,12.1,9.2,20.1,-0.3,19.6
2025-01-03 02:00:00Z,13.5,9.9,22.5,2.3,26.0
2025-01-03 03:00:00Z,10.2,9.1,29.7,11.9,47.8
2025-01-03 04:00:00Z,13.3,9.6,49.6,41.3,112.8
2025-01-03 05:00:00Z,19.1,13.0,59.4,99.9,212.2
2025-01-03 06:00:00Z,25.6,16.1,66.5,137.1,277.3
2025-01-03 07:00:00Z,18.1,20.8,62.0,105.3,223.0
2025-01-03 08:00:00Z,23.2,15.3,67.3,148.1,294.1
2025-01-03 09:00:00Z,30.2,22.1,81.9,246.9,460.4
2025-01-03 10:00:00Z,34.0,22.4,80.7,232.0,436.6
2025-01-03 11:00:00Z,36.0,22.7,62.1,133.8,267.0
2025-01-03 12:00:00Z,24.2,15.6,31.3,17.5,58.2
2025-01-03 13:00:00Z,6.4,4.6,12.9,3.7,18.5
2025-01-03 14:00:00Z,14.2,12.0,13.7,5.8,22.5
2025-01-03 15:00:00Z,9.2,7.3,16.9,11.2,34.1
2025-01-03 16:00:00Z,8.8,7.3,20.2,5.9,29.4
2025-01-03 17:00:00Z,13.0,8.8,31.1,13.2,51.3
2025-01-03 18:00:00Z,16.8,8.7,32.9,14.8,55.6
2025-01-03 19:00:00Z,27.6,13.8,56.4,61.0,149.8
2025-01-03 20:00:00Z,44.5,18.4,77.4,167.5,334.5
2025-01-03 21:00:00Z,50.5,34.4,76.7,152.3,310.2
2025-01-03 22:00:00Z,54.8,43.8,81.8,188.7,371.0
2025-01-03 23:00:00Z,79.8,69.1,74.3,181.6,352.7
2025-01-04 00:00:00Z,76.7,68.6,68.5,172.8,333.5
2025-01-04 01:00:00Z,74.9,65.5,55.0,134.4,261.0
2025-01-04 02:00:00Z,59.7,50.9,46.6,99.9,199.7
2025-01-04 03:00:00Z,25.0,32.9,39.6,67.5,142.9
2025-01-04 04:00:00Z,23.6,18.8,40.8,58.9,131.0
2025-01-04 05:00:00Z,19.4,21.3,42.4,76.1,158.8
2025-01-04 06:00:00Z,20.4,16.7,45.6,86.9,178.8
2025-01-04 07:00:00Z,18.6,12.6,41.2,61.7,135.8
2025-01-04 08:00:00Z,20.4,20.6,46.5,82.9,173.8
2025-01-04 09:00:00Z,19.3,20.6,47.2,95.0,192.7
2025-01-04 10:00:00Z,22.7,16.8,51.7,112.5,223.0
2025-01-04 11:00:00Z,25.2,20.8,47.8,83.7,176.3
2025-01-04 12:00:00Z,65.1,18.1,43.7,63.7,141.6
2025-01-04 13:00:00Z,36.0,7.1,41.3,55.8,127.0
2025-01-04 14:00:00Z,27.9,9.6,48.5,67.2,150.5
2025-01-04 15:00:00Z,16.0,8.4,44.2,63.8,141.4
2025-01-04 16:00:00Z,26.8,11.4,55.3,78.2,174.7
2025-01-04 17:00:00Z,18.9,16.3,40.9,47.7,114.2
2025-01-04 18:00:00Z,21.2,17.8,50.9,70.1,158.1
2025-01-04 19:00:00Z,28.3,17.9,58.8,97.1,207.5
2025-01-04 20:00:00Z,25.8,18.1,55.1,79.9,177.6
2025-01-04 21:00:00Z,22.3,15.4,46.5,50.8,124.0
2025-01-04 22:00:00Z,15.0,15.3,39.0,39.5,99.2
2025-01-04 23:00:00Z,14.9,13.9,35.0,35.4,88.9
2025-01-05 00:00:00Z,10.9,12.1,35.9,37.7,93.5
2025-01-05 01:00:00Z,10.5,12.2,33.5,28.2,76.8
2025-01-05 02:00:00Z,15.9,14.4,42.8,51.1,121.1
2025-01-05 03:00:00Z,10.9,8.6,26.8,21.9,60.4
2025-01-05 04:00:00Z,10.5,4.3,9.3,4.2,15.5
2025-01-05 05:00:00Z,7.4,4.8,11.6,8.4,23.4
2025-01-05 06:00:00Z,12.7,6.6,11.5,5.5,19.5
2025-01-05 07:00:00Z,9.2,6.2,9.5,5.1,16.9
2025-01-05 08:00:00Z,6.9,4.8,12.4,7.5,23.4
2025-01-05 09:00:00Z,10.2,3.0,13.7,8.2,26.1
2025-01-05 10:00:00Z,14.7,4.2,17.8,13.7,38.8
2025-01-05 11:00:00Z,11.3,6.4,19.4,15.3,42.8
2025-01-05 12:00:00Z,7.7,5.0,16.6,12.2,35.2
2025-01-05 13:00:00Z,4.7,8.6,21.6,18.9,50.3
2025-01-05 14:00:00Z,10.5,10.3,22.0,20.2,52.9
2025-01-05 15:00:00Z,9.9,6.5,25.2,25.2,63.8
2025-01-05 16:00:00Z,9.3,7.7,28.2,26.5,68.9
2025-01-05 17:00:00Z,13.6,11.8,38.6,43.3,104.8
2025-01-05 18:00:00Z,16.3,11.3,49.2,61.9,144.2
2025-01-05 19:00:00Z,22.3,12.6,51.0,61.3,144.7
2025-01-05 20:00:00Z,19.2,10.0,49.9,52.6,130.3
2025-01-05 21:00:00Z,16.9,7.7,43.2,43.1,109.3
2025-01-05 22:00:00Z,8.9,8.5,36.6,31.0,84.1
2025-01-05 23:00:00Z,9.1,7.3,18.5,14.0,39.7
2025-01-06 00:00:00Z,10.2,8.4,13.1,7.9,25.0
2025-01-06 01:00:00Z,37.7,6.6,18.5,11.4,36.0
2025-01-06 02:00:00Z,7.8,6.6,12.2,5.7,20.9
2025-01-06 03:00:00Z,7.5,10.0,17.6,9.9,32.9
2025-01-06 04:00:00Z,6.0,9.1,23.8,18.9,52.9
2025-01-06 05:00:00Z,7.7,13.2,28.6,27.0,70.2
2025-01-06 06:00:00Z,12.7,8.0,40.2,53.5,122.4
2025-01-06 07:00:00Z,9.6,11.1,43.5,63.0,139.4
2025-01-06 08:00:00Z,7.5,8.4,34.4,43.0,100.2
2025-01-06 09:00:00Z,11.2,3.7,40.5,55.4,125.1
2025-01-06 10:00:00Z,10.9,2.3,27.5,32.1,76.7
2025-01-06 11:00:00Z,10.8,3.6,11.4,5.1,18.7
2025-01-06 12:00:00Z,6.1,4.6,11.2,5.8,20.0
2025-01-06 13:00:00Z,6.1,4.4,8.4,2.9,12.6
2025-01-06 14:00:00Z,4.5,4.4,9.2,3.5,14.3
2025-01-06 15:00:00Z,6.6,3.2,11.4,4.1,17.7
2025-01-06 16:00:00Z,2.9,2.9,16.4,7.3,27.7
2025-01-06 17:00:00Z,6.2,3.8,46.5,32.2,95.9
2025-01-06 18:00:00Z,13.5,7.0,35.4,29.7,80.7
2025-01-06 19:00:00Z,13.1,9.1,33.6,30.9,80.9
2025-01-06 20:00:00Z,7.4,8.0,22.3,11.3,39.6
2025-01-06 21:00:00Z,15.0,4.7,19.5,10.8,35.8
2025-01-06 22:00:00Z,8.6,5.0,21.3,10.2,37.3
2025-01-06 23:00:00Z,7.1,6.8,10.8,2.2,14.0
2025-01-07 00:00:00Z,7.8,5.6,16.4,5.2,24.5
2025-01-07 01:00:00Z,4.7,6.3,15.5,3.7,21.2
2025-01-07 02:00:00Z,6.5,6.0,15.9,4.8,23.2
2025-01-07 03:00:00Z,9.4,6.6,20.0,6.9,30.5
2025-01-07 04:00:00Z,15.7,10.2,23.8,11.6,41.6
2025-01-07 05:00:00Z,11.2,6.7,18.5,8.9,31.9
2025-01-07 06:00:00Z,7.6,4.2,20.6,19.0,49.4
2025-01-07 07:00:00Z,8.4,3.5,27.5,16.4,52.5
2025-01-07 08:00:00Z,15.5,5.0,33.4,16.2,58.1
2025-01-07 09:00:00Z,19.5,6.3,42.8,34.1,94.9
2025-01-07 10:00:00Z,20.5,10.9,37.2,33.9,89.4
2025-01-07 11:00:00Z,17.4,6.1,31.8,35.5,85.6
2025-01-07 12:00:00Z,10.1,2.8,19.3,14.3,41.2
2025-01-07 13:00:00Z,13.6,9.2,20.7,20.4,50.7
2025-01-07 14:00:00Z,17.0,5.7,21.1,16.6,46.5
2025-01-07 15:00:00Z,11.6,2.4,25.7,17.7,52.9
2025-01-07 16:00:00Z,15.3,4.7,35.7,26.5,76.4
2025-01-07 17:00:00Z,15.1,6.5,41.3,19.3,71.3
2025-01-07 18:00:00Z,20.0,10.9,42.0,19.0,70.9
2025-01-07 19:00:00Z,22.9,7.6,45.7,25.9,85.5
2025-01-07 20:00:00Z,20.0,7.1,45.2,20.0,75.6
2025-01-07 21:00:00Z,18.7,11.6,43.6,19.6,73.7
2025-01-07 22:00:00Z,25.1,12.2,43.0,19.3,72.4
2025-01-07 23:00:00Z,18.5,10.3,36.4,12.9,56.1
2025-01-08 00:00:00Z,12.1,7.9,27.9,7.1,38.8
2025-01-08 01:00:00Z,9.0,7.4,28.6,9.4,43.0
2025-01-08 02:00:00Z,18.6,7.7,35.4,18.2,63.3
2025-01-08 03:00:00Z,12.9,9.5,30.5,14.3,52.4
2025-01-08 04:00:00Z,11.6,6.9,23.4,17.9,50.9
2025-01-08 05:00:00Z,20.3,11.1,62.0,89.3,199.0
2025-01-08 06:00:00Z,22.4,10.4,67.9,130.3,267.5
2025-01-08 07:00:00Z,24.4,9.1,81.3,199.8,387.6
2025-01-08 08:00:00Z,19.1,7.5,73.1,119.9,256.7
2025-01-08 09:00:00Z,21.0,12.6,73.7,135.2,281.1
2025-01-08 10:00:00Z,14.4,11.2,64.4,81.3,189.4
2025-01-08 11:00:00Z,8.3,8.4,59.3,73.1,170.7
2025-01-08 12:00:00Z,6.4,7.5,59.3,83.6,187.6
2025-01-08 13:00:00Z,11.4,4.6,60.6,88.1,195.4
2025-01-08 14:00:00Z,9.7,3.3,54.9,82.7,181.8
2025-01-08 15:00:00Z,6.7,7.5,60.9,92.9,202.4
2025-01-08 16:00:00Z,16.1,8.8,71.0,111.6,243.3
2025-01-08 17:00:00Z,9.8,9.5,57.2,90.7,196.4
2025-01-08 18:00:00Z,6.1,6.7,22.5,14.2,44.5
2025-01-08 19:00:00Z,15.8,4.8,24.7,15.2,48.1
2025-01-08 20:00:00Z,13.9,8.4,25.0,13.8,46.1
2025-01-08 21:00:00Z,20.3,10.0,28.6,16.7,54.4
2025-01-08 22:00:00Z,26.5,10.1,29.5,18.0,57.1
2025-01-08 23:00:00Z,19.3,8.5,25.8,15.6,49.5
2025-01-09 00:00:00Z,11.8,5.6,18.0,10.8,34.4
2025-01-09 01:00:00Z,9.7,5.1,15.5,7.2,25.9
2025-01-09 02:00:00Z,5.0,3.9,19.6,13.4,39.8
2025-01-09 03:00:00Z,1.8,2.0,27.2,16.2,51.7
2025-01-09 04:00:00Z,6.1,1.3,30.7,25.3,69.5
2025-01-09 05:00:00Z,8.1,2.4,46.9,40.9,109.2
2025-01-09 06:00:00Z,16.4,8.8,73.6,92.3,215.1
2025-01-09 07:00:00Z,13.9,8.1,62.5,67.9,166.7
2025-01-09 08:00:00Z,8.3,8.5,36.6,14.6,58.5
2025-01-09 09:00:00Z,5.2,4.6,17.4,6.7,27.3
2025-01-09 10:00:00Z,2.9,3.7,19.1,6.6,29.2
2025-01-09 11:00:00Z,2.6,3.6,23.3,11.4,40.3
2025-01-09 12:00:00Z,9.0,3.7,22.6,13.0,42.8
2025-01-09 13:00:00Z,6.4,4.4,14.5,8.3,27.3
2025-01-09 14:00:00Z,10.0,4.2,14.2,3.8,19.9
2025-01-09 15:00:00Z,4.7,4.3,10.8,1.2,12.5
2025-01-09 16:00:00Z,3.0,6.6,14.2,2.4,17.8
2025-01-09 17:00:00Z,6.5,11.2,20.5,3.9,26.5
2025-01-09 18:00:00Z,7.9,6.2,31.3,8.3,43.9
2025-01-09 19:00:00Z,18.2,8.5,37.9,11.9,56.0
2025-01-09 20:00:00Z,16.9,11.9,28.9,6.8,39.4
2025-01-09 21:00:00Z,20.0,8.6,28.4,6.4,38.3
2025-01-09 22:00:00Z,18.1,8.0,26.4,5.6,34.9
2025-01-09 23:00:00Z,20.5,9.6,33.4,13.6,54.2
2025-01-10 00:00:00Z,11.3,10.8,23.1,5.4,31.3
2025-01-10 01:00:00Z,14.2,10.0,17.4,2.4,21.1
2025-01-10 02:00:00Z,18.2,11.4,40.0,35.5,94.4
2025-01-10 03:00:00Z,21.8,15.0,45.2,47.1,117.5
2025-01-10 04:00:00Z,15.0,13.3,51.0,66.0,151.9
2025-01-10 05:00:00Z,25.4,13.9,60.2,118.2,241.1
2025-01-10 06:00:00Z,33.0,18.6,71.1,188.9,360.7
2025-01-10 07:00:00Z,32.9,17.3,72.8,173.9,339.3
2025-01-10 08:00:00Z,35.1,20.3,67.0,180.9,344.3
2025-01-10 09:00:00Z,33.9,14.5,63.3,157.5,304.3
2025-01-10 10:00:00Z,38.7,11.6,62.4,126.0,255.6
2025-01-10 11:00:00Z,40.2,17.8,57.6,110.5,227.2
2025-01-10 12:00:00Z,36.4,15.4,52.2,82.8,179.2
2025-01-10 13:00:00Z,35.4,10.1,48.8,70.1,156.2
2025-01-10 14:00:00Z,27.3,8.8,51.5,87.6,185.4
2025-01-10 15:00:00Z,24.4,11.3,53.1,83.1,179.4
2025-01-10 16:00:00Z,19.4,8.0,68.2,103.2,226.2
2025-01-10 17:00:00Z,31.3,14.5,69.7,103.2,228.0
2025-01-10 18:00:00Z,40.0,22.4,79.6,139.3,293.0
2025-01-10 19:00:00Z,50.4,25.2,78.6,131.9,281.3
2025-01-10 20:00:00Z,52.1,31.7,71.4,131.0,272.7
2025-01-10 21:00:00Z,47.1,27.5,59.9,95.9,207.0
2025-01-10 22:00:00Z,44.4,27.2,59.1,101.0,214.0
2025-01-10 23:00:00Z,38.9,27.3,52.7,66.8,155.1
2025-01-11 00:00:00Z,46.0,27.5,48.1,62.6,144.0
2025-01-11 01:00:00Z,33.9,24.5,35.5,34.0,87.5
2025-01-11 02:00:00Z,27.1,16.3,25.7,21.1,58.0
2025-01-11 03:00:00Z,13.5,18.5,19.2,11.6,37.1
2025-01-11 04:00:00Z,17.3,18.5,17.5,7.6,29.3
2025-01-11 05:00:00Z,13.8,18.0,28.4,24.4,65.8
2025-01-11 06:00:00Z,12.0,9.3,34.2,24.9,72.3
2025-01-11 07:00:00Z,16.5,13.3,28.9,16.6,54.3
2025-01-11 08:00:00Z,11.9,12.4,28.2,23.5,64.2
2025-01-11 09:00:00Z,19.1,11.8,31.3,28.2,74.3
2025-01-11 10:00:00Z,24.2,11.9,46.2,50.7,124.1
2025-01-11 11:00:00Z,19.8,11.2,38.7,31.3,86.6
2025-01-11 12:00:00Z,19.5,13.9,39.4,38.0,97.4
2025-01-11 13:00:00Z,24.7,16.7,40.5,44.4,109.2
2025-01-11 14:00:00Z,20.4,17.6,38.2,35.8,92.6
2025-01-11 15:00:00Z,30.8,20.2,49.9,57.6,138.4
2025-01-11 16:00:00Z,22.7,16.7,32.0,11.0,49.2
2025-01-11 17:00:00Z,36.6,20.3,46.0,48.0,118.8
2025-01-11 18:00:00Z,31.2,26.0,44.0,23.0,79.7
2025-01-11 19:00:00Z,29.3,23.3,49.8,51.9,129.2
2025-01-11 20:00:00Z,24.0,20.1,30.6,6.5,40.4
2025-01-11 21:00:00Z,45.0,31.3,44.7,29.8,90.7
2025-01-11 22:00:00Z,39.6,32.8,37.8,20.9,70.0
2025-01-11 23:00:00Z,28.3,26.3,27.8,12.0,46.0
2025-01-12 00:00:00Z,35.6,17.8,30.2,24.7,67.9
2025-01-12 01:00:00Z,22.2,18.3,26.2,12.5,45.4
2025-01-12 02:00:00Z,22.8,10.6,21.5,6.4,31.4
2025-01-12 03:00:00Z,19.0,15.4,21.2,4.4,27.8
2025-01-12 04:00:00Z,15.1,11.4,15.8,1.0,17.2
2025-01-12 05:00:00Z,24.0,16.0,16.9,3.2,21.9
2025-01-12 06:00:00Z,19.4,12.9,17.8,0.7,18.9
2025-01-12 07:00:00Z,18.2,14.4,21.8,2.0,24.9
2025-01-12 08:00:00Z,21.6,14.6,31.7,23.6,66.0
2025-01-12 09:00:00Z,19.7,15.2,29.6,12.9,49.2
2025-01-12 10:00:00Z,29.4,16.3,40.4,42.6,105.6
2025-01-12 11:00:00Z,21.3,18.0,39.6,36.2,95.0
2025-01-12 12:00:00Z,35.3,18.4,46.4,61.7,141.2
2025-01-12 13:00:00Z,26.3,18.7,45.1,54.8,129.3
2025-01-12 14:00:00Z,34.3,19.4,52.8,84.0,181.5
2025-01-12 15:00:00Z,27.6,15.2,51.4,90.1,189.0
2025-01-12 16:00:00Z,27.5,18.6,45.9,75.6,161.2
2025-01-12 17:00:00Z,25.3,16.9,55.7,68.9,161.7
2025-01-12 18:00:00Z,26.7,19.1,54.4,51.8,134.2
2025-01-12 19:00:00Z,30.8,24.1,61.6,65.7,162.3
2025-01-12 20:00:00Z,33.2,19.5,64.6,60.8,157.7
2025-01-12 21:00:00Z,32.6,25.6,59.0,49.3,134.4
2025-01-12 22:00:00Z,46.2,30.3,53.8,49.0,128.7
2025-01-12 23:00:00Z,42.9,31.0,57.6,47.6,130.6
2025-01-13 00:00:00Z,41.9,23.4,46.0,30.4,92.5
2025-01-13 01:00:00Z,53.9,21.6,35.3,19.1,64.4
2025-01-13 02:00:00Z,,22.2,26.9,9.8,42.0
2025-01-13 03:00:00Z,30.3,17.8,22.5,10.9,39.4
2025-01-13 04:00:00Z,25.2,15.1,30.4,20.8,62.3
2025-01-13 05:00:00Z,26.8,11.8,40.1,34.4,92.7
2025-01-13 06:00:00Z,22.0,9.3,51.8,59.5,142.8
2025-01-13 07:00:00Z,24.0,9.7,61.7,93.4,204.7
2025-01-13 08:00:00Z,29.6,13.9,64.8,97.4,214.3
2025-01-13 09:00:00Z,42.4,13.5,72.5,116.4,250.5
2025-01-13 10:00:00Z,41.0,16.1,,,
2025-01-13 11:00:00Z,26.0,14.1,,,
2025-01-13 12:00:00Z,36.8,9.7,51.2,72.6,161.6
2025-01-13 13:00:00Z,39.0,10.7,51.1,72.3,161.9
2025-01-13 14:00:00Z,32.3,12.9,50.8,81.4,175.1
2025-01-13 15:00:00Z,27.5,10.8,58.3,87.6,192.1
2025-01-13 16:00:00Z,24.9,12.4,52.1,64.2,150.6
2025-01-13 17:00:00Z,34.3,15.5,78.4,98.5,229.1
2025-01-13 18:00:00Z,29.1,15.2,77.7,73.3,190.3
2025-01-13 19:00:00Z,45.0,15.3,83.3,88.0,217.9
2025-01-13 20:00:00Z,44.7,16.9,76.9,84.0,205.7
2025-01-13 21:00:00Z,41.9,24.6,74.2,79.4,196.1
2025-01-13 22:00:00Z,25.6,22.2,61.8,31.5,110.1
2025-01-13 23:00:00Z,40.4,23.2,73.0,69.9,180.4
2025-01-14 00:00:00Z,46.7,18.0,72.9,58.0,162.1
2025-01-14 01:00:00Z,29.2,20.9,70.3,40.8,132.7
2025-01-14 02:00:00Z,34.3,20.2,64.8,32.6,114.8
2025-01-14 03:00:00Z,29.2,18.4,65.3,50.0,141.7
2025-01-14 04:00:00Z,29.5,16.5,74.0,77.0,192.3
2025-01-14 05:00:00Z,38.0,23.1,78.5,130.0,277.6
2025-01-14 06:00:00Z,37.6,23.1,101.9,179.1,376.2
2025-01-14 07:00:00Z,32.2,20.8,69.6,107.5,234.5
2025-01-14 08:00:00Z,51.6,23.6,87.3,255.1,478.5
2025-01-14 09:00:00Z,50.8,32.8,76.4,166.4,331.6
2025-01-14 10:00:00Z,68.8,31.3,84.3,184.5,367.1
2025-01-14 11:00:00Z,66.6,30.6,75.9,161.1,323.0
2025-01-14 12:00:00Z,50.8,33.5,79.5,167.8,336.8
2025-01-14 13:00:00Z,75.6,37.6,89.7,160.9,336.4
2025-01-14 14:00:00Z,74.4,37.8,92.9,159.8,337.7
2025-01-14 15:00:00Z,71.5,39.5,82.2,112.1,254.1
2025-01-14 16:00:00Z,66.2,42.1,74.8,74.1,188.5
2025-01-14 17:00:00Z,55.0,34.4,82.7,150.3,313.2
2025-01-14 18:00:00Z,68.6,42.0,89.4,173.6,355.4
2025-01-14 19:00:00Z,66.4,44.1,82.2,171.8,346.3
2025-01-14 20:00:00Z,94.2,48.1,93.1,258.7,490.1
2025-01-14 21:00:00Z,70.0,37.0,77.1,148.2,304.3
2025-01-14 22:00:00Z,83.8,51.4,79.9,207.4,398.0
2025-01-14 23:00:00Z,97.6,63.6,85.0,238.3,450.4
2025-01-15 00:00:00Z,100.1,62.0,85.1,243.1,457.8
2025-01-15 01:00:00Z,92.5,49.5,68.4,112.8,241.3
2025-01-15 02:00:00Z,52.9,41.4,54.0,29.0,98.5
2025-01-15 03:00:00Z,57.6,39.1,64.8,100.0,218.1
2025-01-15 04:00:00Z,78.7,50.7,71.2,172.6,336.3
2025-01-15 05:00:00Z,95.0,66.1,78.8,220.0,416.0
2025-01-15 06:00:00Z,89.3,69.5,85.2,245.5,461.6
2025-01-15 07:00:00Z,81.0,62.9,79.8,240.9,449.2
2025-01-15 08:00:00Z,75.2,61.2,67.0,228.3,416.8
2025-01-15 09:00:00Z,42.2,32.7,45.4,60.2,137.9
2025-01-15 10:00:00Z,37.9,28.8,41.9,46.4,113.1
2025-01-15 11:00:00Z,38.5,31.0,44.0,57.1,131.4
2025-01-15 12:00:00Z,40.9,32.9,48.0,65.8,148.8
2025-01-15 13:00:00Z,29.8,26.2,49.6,70.5,157.6
2025-01-15 14:00:00Z,43.9,32.5,57.0,120.9,242.4
2025-01-15 15:00:00Z,30.7,25.9,53.4,78.3,173.9
2025-01-15 16:00:00Z,30.4,21.5,62.8,114.8,239.0
2025-01-15 17:00:00Z,24.5,20.3,58.4,98.1,208.8
2025-01-15 18:00:00Z,27.7,21.2,61.8,101.5,217.4
2025-01-15 19:00:00Z,26.1,15.9,57.0,83.4,184.7
2025-01-15 20:00:00Z,33.0,19.2,51.0,69.5,157.4
2025-01-15 21:00:00Z,30.2,23.6,47.2,53.1,128.6
2025-01-15 22:00:00Z,21.5,17.6,43.6,28.2,86.9
2025-01-15 23:00:00Z,21.6,19.8,43.5,24.0,80.4
2025-01-16 00:00:00Z,20.6,,43.6,32.8,94.0
2025-01-16 01:00:00Z,18.9,18.0,41.9,29.1,86.6
2025-01-16 02:00:00Z,16.7,12.7,45.2,29.5,90.5
2025-01-16 03:00:00Z,18.2,16.5,42.7,31.5,91.0
2025-01-16 04:00:00Z,20.6,19.5,45.5,45.5,115.3
2025-01-16 05:00:00Z,20.5,16.7,46.1,60.3,138.6
2025-01-16 06:00:00Z,25.8,15.4,54.1,95.8,201.0
2025-01-16 07:00:00Z,32.7,20.8,59.3,123.9,249.1
2025-01-16 08:00:00Z,35.0,13.6,57.9,106.8,220.4
2025-01-16 09:00:00Z,31.1,17.4,56.4,108.8,223.1
2025-01-16 10:00:00Z,41.1,15.4,59.1,99.6,212.0
2025-01-16 11:00:00Z,49.4,17.0,51.9,75.3,167.4
2025-01-16 12:00:00Z,34.1,15.8,47.0,63.5,144.2
2025-01-16 13:00:00Z,36.5,10.4,50.5,78.4,170.1
2025-01-16 14:00:00Z,44.1,21.1,53.9,97.6,203.4
2025-01-16 15:00:00Z,36.2,16.2,55.2,103.0,213.1
2025-01-16 16:00:00Z,33.3,16.6,57.6,97.6,207.2
2025-01-16 17:00:00Z,26.4,17.2,56.2,95.9,203.3
2025-01-16 18:00:00Z,28.2,14.2,56.9,99.6,209.0
2025-01-16 19:00:00Z,36.4,17.5,54.2,77.4,172.9
2025-01-16 20:00:00Z,41.0,17.1,56.9,73.3,169.6
2025-01-16 21:00:00Z,37.8,12.4,46.6,47.8,119.8
2025-01-16 22:00:00Z,33.5,19.4,50.7,56.6,137.4
2025-01-16 23:00:00Z,38.0,15.8,49.2,53.6,131.4
2025-01-17 00:00:00Z,34.2,17.5,51.6,56.0,137.4
2025-01-17 01:00:00Z,34.2,20.7,44.2,40.3,106.0
2025-01-17 02:00:00Z,33.0,20.7,41.6,33.7,93.2
2025-01-17 03:00:00Z,31.7,23.2,48.3,53.6,130.7
2025-01-17 04:00:00Z,33.9,27.8,53.6,92.3,195.1
2025-01-17 05:00:00Z,31.4,23.2,54.2,97.2,203.4
2025-01-17 06:00:00Z,42.4,29.9,51.9,112.5,224.5
2025-01-17 07:00:00Z,29.8,28.2,51.2,127.4,246.5
2025-01-17 08:00:00Z,38.8,27.2,50.5,94.7,195.7
2025-01-17 09:00:00Z,39.4,27.3,51.6,120.4,236.3
